iter	Passed	Remaining
417	2343	2141
418	2347	2134
419	2352	2128
420	2357	2122
421	2360	2114
422	2364	2107
423	2369	2101
424	2373	2094
425	2378	2087
426	2382	2080
427	2387	2074
428	2390	2067
429	2395	2060
430	2399	2053
431	2403	2047
432	2407	2040
433	2411	2033
434	2415	2027
435	2421	2021
436	2425	2014
437	2430	2008
438	2435	2002
439	2440	1996
440	2444	1989
441	2448	1983
442	2452	1976
443	2456	1969
444	2460	1962
445	2467	1958
446	2473	1953
447	2478	1947
448	2484	1941
449	2489	1936
450	2493	1929
451	2498	1923
452	2502	1917
453	2506	1910
454	2512	1905
455	2525	1904
456	2537	1904
457	2548	1902
458	2558	1900
459	2563	1894
460	2568	1888
461	2572	1882
462	2577	1876
463	2585	1872
464	2591	1866
465	2595	1860
466	2599	1853
467	2604	1847
468	2608	1840
469	2613	1834
470	2618	1829
471	2625	1824
472	2633	1820
473	2638	1814
474	2645	1809
475	2650	1803
476	2654	1797
477	2659	1791
478	2663	1785
479	2668	1778
480	2672	1772
481	2676	1765
482	2680	1759
483	2684	1752
484	2688	1746
485	2693	1740
486	2698	1734
487	2701	1727
488	2706	1721
489	2711	1715
490	2715	1708
491	2718	1701
492	2722	1695
493	2727	1689
494	2731	1683
495	2735	1676
496	2739	1670
497	2744	1664
498	2749	1658
499	2753	1651
500	2757	1645
501	2761	1639
502	2765	1633
503	2770	1626
504	2775	1621
505	2780	1615
506	2787	1610
507	2793	1605
508	2798	1599
509	2802	1593
510	2807	1587
511	2811	1581
512	2815	1574
51514	2821	15651515	2826	15551516	2831	15451517	2835	15451518	2839	15351519	2844	15351520	2847	15252521	2852	15152522	2856	15152523	2861	15052524	2865	15052525	2869	14952526	2874	14852527	2878	14852528	2884	14752529	2888	14752530	2894	1466
531	2899	14653532	2904	1454
533	2908	1448
534	2914	1443
535	2917	1437
536	2922	1431
537	2926	1425
538	2930	1419
539	2934	1413
540	2938	1406
541	2943	1401
542	2949	1395
543	2953	1390
544	2958	1384
545	2964	1379
546	2968	13754547	2973	13654548	2978	13654549	2983	13554550	2987	13555551	2992	13455552	2997	13355553	3003	13355554	3008	13255555	3012	13255556	3017	13155557	3022	13155558	3026	13055559	3031	12955560	3036	12956561	3041	12856562	3045	1282
563	3050	1276
564	3055	1270
565	3059	1264
566	3063	1259
567	3068	1253
568	3073	1247
569	3077	1241
570	3082	1236
571	3087	1230
572	3092	1224
573	3097	1219
574	3102	1214
575	3107	1208
576	3112	1202
577	3118	1197
578	3123	1192
579	3127	1186
580	3132	1180
581	3137	1175
582	3142	1169
583	3146	1163
584	3151	1158
585	3156	1152
586	3160	1146
587	3165	1141
588	3170	1135
589	3174	1129
590	3178	1124
591	3183	1118
592	3187	1112
593	3191	1106
594	3195	1101
595	3200	1095
596	3205	1089
597	3210	1084
598	3214	1078
599	3219	1073
600	3223	1067
601	3228	1061
602	3232	1056
603	3238	1050
604	3243	1045
605	3248	1040
606	3254	1034
607	3258	1029
608	3263	1023
609	3268	1017
610	3273	1012
611	3277	1006
612	3286	1002
613	3291	997
614	3297	991
615	3302	986
616	3306	980
617	3310	974
618	3314	969
619	3318	963
620	3323	957
621	3326	952
622	3331	946
623	3335	940
624	3339	935
625	3343	929
626	3348	923
627	3352	918
628	3356	912
629	3359	906
630	3363	900
631	3368	895
632	3373	890
633	3379	884
634	3384	879
635	3388	873
636	3393	868
637	3398	8663638	3402	8563639	3406	8563640	3411	8464641	3415	8464642	3420	8364643	3425	8264644	3431	82644	3434	825
645	3439	820
64647	3448	80647	3451	809
64649	3459	79649	3461	798
650	3465	793
651	3470	787
652	3476	782
653	3480	777
654	3486	771
655	3492	766
656	3498	761
657	3503	755
658	3508	750
659	3513	745
660	3518	740
661	3524	734
662	3529	729
663	3533	723
664	3539	718
665	3545	713
666	3549	707
667	3555	702
668	3560	697
669	3566	691
670	3570	686
671	3575	681
672	3582	676
673	3589	671
674	3597	666
675	3602	660
676	3609	655
677	3615	650
678	3620	645
679	3625	639
680	3630	634
681	3635	629
682	3640	623
683	3645	618
684	3651	612
685	3657	607
686	3662	602
687	3668	597
688	3673	591
689	3678	586
690	3685	581
691	3692	576
692	3697	570
693	3704	565
694	3710	560
695	3715	555
696	3723	550
697	3730	545
698	3736	539
699	3742	534
700	3750	529
701	3757	524
702	3762	519
703	3768	513
704	3773	508
705	3778	503
706	3783	497
707	3788	492
708	3793	486
709	3798	481
710	3803	476
711	3809	470
712	3814	465
713	3819	460
714	3824	454
715	3828	449
716	3833	443
717	3838	438
718	3844	433
719	3850	427
720	3854	422
721	3860	417
722	3865	411
723	3870	406
724	3876	400
725	3881	395
726	3886	390
727	3890	384
728	3895	379
729	3900	374
730	3906	368
731	3912	363
732	3918	358
733	3924	352
734	3929	347
735	3934	342
736	3938	336
737	3943	331
738	3948	325
739	3953	320
740	3957	315
741	3964	309
742	3969	304
743	3973	299
744	3978	293
745	3983	288
746	3987	282
747	3993	277
748	3997	272
749	4003	266
750	4007	261
751	4013	256
752	4018	250
753	4023	245
754	4027	240
755	4033	234
756	4037	229
757	4042	224
758	4047	218
759	4052	213
760	4057	207
761	4064	202
762	4070	197
763	4076	192
764	4082	186
765	4087	181
766	4093	176
767	4097	170
768	4101	165
769	4104	159
770	4108	154
771	4112	149
772	4116	143
773	4120	138
774	4125	133
775	4129	127
776	4133	122
777	4137	116
778	4140	111
779	4144	106
780	4147	100
781	4151	95
782	4155	90
783	4160	84
784	4163	79
785	4167	74
786	4170	68
787	4173	63
788	4176	58
789	4179	52
790	4182	47
791	4184	42
792	4187	36
793	4189	31
794	4192	26
795	4195	21
796	4197	15
797	4199	10
798	4203	5
799	4207	0
